CODICE;CODICEREGIONE;STRUTTURA;TIPO;Comune;Indirizzo
V00033;042048-LOC-00005;AGOSTINELLI NADIA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);SIROLO;Via Svarchi alti, 25
V00036;042048-LOC-00006;OSIMANI ROBERTO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);SIROLO;AFFITTACAMERE
I00003;042048-REE-00001;ALLE PENDICI DEL CONERO;Residenze d'epoca extra-alberghiere;SIROLO;Via Monte Colombo, 32
19053;042048-VIT-00001;GREEN GARDEN;Villaggi turistici;SIROLO;via Peschiera, 3
14559;042049-AGR-00002;SEGNAVENTO;Agriturismi;STAFFOLO;c.da Salmagina, 7
11613;042049-ALB-00001;BELVEDERE;Albergo;STAFFOLO;via Redipuglia, 1
17043;042049-ALB-00002;RELAIS DEL BORGO HOTEL & SPA;Albergo;STAFFOLO;via Solferino, 4
21218;042049-ALB-00003;TUFO E ARGILLA;Albergo;STAFFOLO;Via Cotini, 2
A00002;042049-ALD-00001;TUFO E ARGILLA;Alberghi diffusi;STAFFOLO;Via Cotini, 2
15726;042049-AST-00001;AREA DI SOSTA CAMPER;Aree di Sosta;STAFFOLO;Antica Fonte Salmangina
14477;042049-BeB-00001;B&B CA' DEL CARDO;Bed & Breakfast;STAFFOLO;contrada Coste, 72
15691;042049-BeB-00002;LA CASA DELLE RONDINI B&B;Bed & Breakfast;STAFFOLO;Contrada Campagliano, 5
19925;042049-BeB-00003;IL VICOLETTO DI BIBI;Bed & Breakfast;STAFFOLO;Via Cotini, 2
14849;042049-CHT-00001;LA CIMINIERA 1846;Country house;STAFFOLO;contrada Santa Caterina, 18
12482;042049-RTA-00001;RESIDENCE OASI;Residenze Turistico-Alberghiere (R.T.A.);STAFFOLO;via Marco Biagi, 1
17612;042050-AGR-00004;AGRITURISMO IL PRATO;Agriturismi;TRECASTELLI;via Giacomo Matteotti di Ripe, 13
17613;042050-AGR-00005;AGRITURIST L'ULIVO;Agriturismi;TRECASTELLI;via Valliscie, 9b
20528;042050-AGR-00006;VILLA E RESORT TRECASTELLI;Agriturismi;TRECASTELLI;Via Ugo Foscolo, 11
22183;042050-AGR-00007;AGRITURISMO LE FONTANELLE;Agriturismi;TRECASTELLI;Via Piagiolino, 6
17663;042050-ALB-00002;TENUTA IL GIOGO;Albergo;TRECASTELLI;via Fonti, 5
19240;042050-APA-00003;SCHIERBECK SILKE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);TRECASTELLI;Via San Francesco, 2
21566;042050-APA-00008;MICCI DAVIDE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);TRECASTELLI;Ghirola, snc
21810;042050-APA-00009;PINZI CARLA;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);TRECASTELLI;Via S. Annunziata, 19
22510;042050-APA-00010;PAOLONI GIRVASIO;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);TRECASTELLI;Via Annunziata, 17
22657;042050-APA-00011;BRECCIAROLI MARCO GIUSEPPE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);TRECASTELLI;Via Manzoni, 6/B
22929;042050-APA-00012;PISTELLI GIOVANNI;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);TRECASTELLI;Castello, 12
23427;042050-APA-00013;BRUNETTI SAMUELE;Appartamenti Ammobiliati uso turistico (Art. 32 – T.U.);TRECASTELLI;Via Fornace, 66
18237;042050-BeB-00007;B&B NIDO SULLE COLLINE;Bed & Breakfast;TRECASTELLI;via San Francesco, 2
18535;042050-BeB-00008;CASACHIARA;Bed & Breakfast;TRECASTELLI;Via Santa Marina, 4
19236;042050-BeB-00009;IL CASALE DI NONNO GUIDO;Bed & Breakfast;TRECASTELLI;Via delle Querce, 12
19755;042050-BeB-00011;IL NOCETO B&B;Bed & Breakfast;TRECASTELLI;Via Santissima Trinità, 19
17614;042050-BeB-00012;B&B LUNA BIANCA DI CIARLONI ROSSANA;Bed & Breakfast;TRECASTELLI;Via Gualdo, 11
17615;042050-BeB-00013;B&B VIASANMORO;Bed & Breakfast;TRECASTELLI;via San Moro, 10
17619;042050-BeB-00015;B&B LA CASA DEGLI ULIVI. ART & RESIDENCE;Bed & Breakfast;TRECASTELLI;via San Pietro, 7
17620;042050-BeB-00016;B&B SENIGALLIA DI ANDREANI MARINA;Bed & Breakfast;TRECASTELLI;Via San Pietro,, 11
20974;042050-BeB-00018;B&B CASA DI PAESE;Bed & Breakfast;TRECASTELLI;Viale Umberto I, 50
23069;042050-CAV-00002;VILLA PEDOSSA;Case e appartamenti per vacanze;TRECASTELLI;Via Gualdo, 15
19906;042050-CHT-00003;CASALE CIVETTA;Country house;TRECASTELLI;Via Consolazione, 20
17617;042050-CHT-00004;SOLEA;Country house;TRECASTELLI;via Santa Lucia, 6
I00002;042050-REE-00001;DIMORA STORICA CASTELLO DI MONTERADO;Residenze d'epoca extra-alberghiere;TRECASTELLI;piazza Roma, 18
17334;043002-AGR-00001;LAGO LA TROTA;Agriturismi;APIRO;c.da Favete, 36
17438;043002-AGR-00002;VILLA ARSICCI;Agriturismi;APIRO;via Arsicci, 3
1547;043002-AGR-00003;ALLOGGIO AGRITURISTICO COLLEVERDE;Agriturismi;APIRO;contrada Cozzi, 1
1548;043002-AGR-00004;AGRITURISMO LA CASA DEL SOLE;Agriturismi;APIRO;via San Salvatore, 22
1549;043002-AGR-00005;AGRITURISMO SANTA MARIA DEL GALLO;Agriturismi;APIRO;contrada Santa Maria, 7
13621;043002-BeB-00001;B&B DA SILVA VERA LUCIA;Bed & Breakfast;APIRO;via figuretta, 8
16258;043002-BeB-00002;B&B LUPUS IN FABULA;Bed & Breakfast;APIRO;Strada Pian dell'Elmo, snc
23645;043002-BeB-00003;CASA VANIGLIA;Bed & Breakfast;APIRO;Contrada Canali, 2
22974;043002-CAM-00001;ELMO CAMPING SAN VICINO;Campeggi;APIRO;località Pian dell'Elmo, MC
12055;043002-CHT-00001;ABBAZIA DI SANT'URBANO;Country house;APIRO;contrada Sant'Urbano, 5
14480;043003-AGR-00001;AGRITURISMO FORANO CASA LE PIAGGE;Agriturismi;APPIGNANO;contrada forano, 44
